Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Provision for Loan Losses";"Non-Cash Items";"Change in Working Capital";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Loans & Interbank";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Effect of Foreign Exchange Rates";"Net Change in Cash"
AJX;90767;USD;2014;Q4;2014-12-31;2015-11-12;10152839;10773105;2526000;3000;;-2218000;-2909000;-2598000;-690000;-103798000;;-106841000;;;38896000;138688000;;29249000
AJX;90767;USD;2015;Q1;2015-03-31;2015-05-13;13008268;13680687;3815000;1000;;-3737000;674000;753000;-2626000;-71839000;;-74487000;-1795000;-1717000;51529000;47719000;;-26015000
AJX;90767;USD;2015;Q2;2015-06-30;2015-08-13;15237739;15909634;5659000;0;;-6748000;-4689000;-5778000;189000;-154527000;;-154388000;-2746000;-1826000;0;169281000;;9115000
AJX;90767;USD;2015;Q3;2015-09-30;2015-11-12;15273818;15926052;7925000;0;;-8508000;-5100000;-5683000;630000;-57573000;;-56990000;-3363000;-20239000;0;54981000;;-7692000
AJX;90767;USD;2015;Q4;2015-12-31;2016-03-29;15326615;15973579;8393000;2000;;-9048000;686000;33000;1596000;-36765000;;-35182000;-3673000;4884000;-121000;37476000;;2327000
AJX;90767;USD;2016;Q1;2016-03-31;2016-05-16;15306519;15959202;7963000;5000;;-8091000;-2982000;-3105000;2359000;-26185000;;-25129000;-3676000;-5777000;0;22360000;;-5874000
AJX;90767;USD;2016;Q2;2016-06-30;2016-08-04;15742932;16389126;6861000;6000;;-10103000;2390000;-846000;2861000;-39548000;;-36878000;-3835000;-13644000;31964000;81505000;;43781000
AJX;90767;USD;2016;Q3;2016-09-30;2016-11-03;17937079;18664586;7886000;6000;;-15397000;-6412000;-13917000;1454000;-193980000;;-114457000;-4504000;-13812000;36000;82986000;;-45388000
AJX;90767;USD;2016;Q4;2016-12-31;2017-03-02;17984998;18794714;6164000;3000;;4619000;1861000;12647000;2443000;-120191000;;-126445000;-4511000;-72394000;-288000;127353000;;13555000
AJX;90767;USD;2017;Q1;2017-03-31;2017-05-03;17976710;18791231;8698000;9000;;-7989000;-2287000;-1569000;0;15734000;;19973000;-4536000;-15455000;33000;-24758000;;-6354000
AJX;90767;USD;2017;Q2;2017-06-30;2017-08-03;18008499;23026679;7102000;23000;;-8265000;-4809000;-5949000;8449000;-184777000;;-177791000;-5088000;-45293000;40000;195255000;;11515000
